ApName,Super Build／SS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,1. 1. 1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工事名,（仮称）ツルハドラッグ鳥飼店　新築工事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
略称,ツルハドラッグ鳥飼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
計算日時,2022/9/10 17:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name=構造階高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
層,階,構造,階高,構造階高,階高と,梁のレベル調整,,二重ｽﾗﾌﾞ,床面積,ダミー層,従属層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,梁心の差,押さえ,レベル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,mm,mm,mm,,mm,,m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFL,2F,S,4510,4716,124,上面,0,なし,496,通常層,,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FL,1F,S,4600,4923,330,上面,-145,なし,504,通常層,,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1FL,,RC,,,653,上面,-280,なし,29.8,通常層,,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name=構造スパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<X方向>,,,,,,,<Y方向>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
軸－軸,,スパン,構造ｽﾊﾟﾝ,構造心とのズレ,,,軸－軸,,スパン,構造ｽﾊﾟﾝ,構造心とのズレ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,軸,ズレ,,,,,,軸,ズレ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mm,mm,,mm,,,,mm,mm,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1A,3250,3210,1,220,,A,B,2000,2017,A,201,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A,2,5050,4870,1A,180,,B,C,4900,4683,B,218,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2A,3000,2833,2,0,,C,D,4850,4850,C,0,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,3,4200,4368,2A,-168,,D,E,4900,4900,D,0,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3A,6300,6300,3,0,,E,F,4750,4533,E,0,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3A,4,2600,2383,3A,0,,,,,,F,-218,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,-218,,,,,,,,<RE>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name=建物情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,配置数,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階,PH階数,0,ペントハウス階数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,地上階数,2,地上階数（ペントハウス階，ダミー階を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,地下階数,0,地下階数（ダミー階を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ダミー階数,0,層グループ（通常層と従属するダミー層のグループ）内にできる階の数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通り軸,Xスパン数,6,X方向スパン数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yスパン数,5,Y方向スパン数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
節点数,,78,部材が取り付く節点の数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柱数,,43,柱の数（一本部材を考慮しない）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁数,大梁，基礎梁,113,梁の数（一本部材を考慮しない）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,片持梁,4,片持梁の数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
